,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
0,龙岩学院,2014,软件工程,448,0.0,0.0,,,
3,龙岩学院,2014,电气工程及其自动化,467,0.0,0.0,,,
5,龙岩学院,2014,机械设计制造及其自动化,456,0.0,0.0,,,
15,齐齐哈尔大学,2014,电子信息工程,455,0.0,0.0,,,
23,齐鲁理工学院,2014,通信工程,428,0.0,0.0,,,
25,齐鲁理工学院,2014,电子信息工程,431,0.0,0.0,,,
31,齐鲁工业大学,2014,光电信息科学与工程,472,0.0,0.0,,,
32,齐鲁工业大学,2014,信息与计算科学,464,0.0,0.0,,,
37,黑龙江科技大学,2014,计算机科学与技术,448,0.0,0.0,,,
38,黑龙江科技大学,2014,自动化,450,0.0,0.0,,,
39,黑龙江科技大学,2014,机械电子工程,451,0.0,0.0,,,
48,黑龙江八一农垦大学,2014,机械设计制造及其自动化,446,0.0,0.0,,,
52,黑龙江八一农垦大学,2014,信息与计算科学,438,0.0,0.0,,,
75,首都经济贸易大学,2011,信息管理与信息系统,619,0.0,0.0,,,
76,首都经济贸易大学,2013,信息管理与信息系统,571,268.0,9632.0,,,
77,首都经济贸易大学,2015,信息管理与信息系统,602,265.0,8974.0,,,
82,首都师范大学,2011,电气信息,583,0.0,0.0,,,
88,首都师范大学,2011,信息管理与信息系统,603,0.0,0.0,,,
83,首都师范大学,2013,电子商务,553,320.0,14940.0,,,
131,韩山师范学院,2014,信息管理与信息系统,455,0.0,0.0,,,
132,鞍山师范学院,2014,计算机科学与技术,446,0.0,0.0,,,
141,青海大学,2011,机械设计制造及其自动化,589,0.0,0.0,573.0,586.0,13.0
136,青海大学,2013,电气工程及其自动化,531,383.0,22813.0,,,
137,青海大学,2015,电气工程及其自动化,582,294.0,14798.0,525.0,561.0,36.0
145,青海大学,2015,信息管理与信息系统,560,382.0,22483.0,525.0,561.0,36.0
155,青岛科技大学,2011,通信工程,592,0.0,0.0,,,
180,青岛科技大学,2011,机械工程及自动化,601,0.0,0.0,,,
156,青岛科技大学,2012,通信工程,567,0.0,0.0,,,
207,青岛科技大学,2014,    通信工程,552,370.0,19639.0,,,
157,青岛科技大学,2015,通信工程,559,384.0,22867.0,,,
221,青岛理工大学,2011,计算机科学与技术,589,0.0,0.0,573.0,594.0,21.0
223,青岛理工大学,2011,自动化,592,0.0,0.0,573.0,594.0,21.0
227,青岛理工大学,2011,网络工程,592,0.0,0.0,573.0,594.0,21.0
236,青岛理工大学,2011,电子信息科学与技术,590,0.0,0.0,573.0,594.0,21.0
240,青岛理工大学,2011,电子信息工程,591,0.0,0.0,573.0,594.0,21.0
263,青岛理工大学,2011,机械设计制造及其自动化,592,0.0,0.0,573.0,594.0,21.0
267,青岛理工大学,2011,建筑电气与智能化,589,0.0,0.0,573.0,594.0,21.0
294,青岛理工大学,2011,信息与计算科学,588,0.0,0.0,573.0,594.0,21.0
237,青岛理工大学,2012,电子信息科学与技术,567,0.0,0.0,,,
268,青岛理工大学,2012,建筑电气与智能化,573,0.0,0.0,,,
214,青岛理工大学,2013,通信工程,544,357.0,18043.0,501.0,546.0,45.0
224,青岛理工大学,2013,自动化,543,365.0,18408.0,501.0,546.0,45.0
228,青岛理工大学,2013,网络工程,536,356.0,20904.0,501.0,546.0,45.0
238,青岛理工大学,2013,电子信息科学与技术,537,359.0,20548.0,501.0,546.0,45.0
269,青岛理工大学,2013,建筑电气与智能化,554,298.0,14620.0,501.0,546.0,45.0
215,青岛理工大学,2015,通信工程,567,377.0,19978.0,525.0,564.0,39.0
216,青岛理工大学,2015,软件工程,560,382.0,22483.0,525.0,564.0,39.0
222,青岛理工大学,2015,计算机科学与技术,559,384.0,22867.0,525.0,564.0,39.0
225,青岛理工大学,2015,自动化,552,386.0,25601.0,525.0,564.0,39.0
229,青岛理工大学,2015,网络工程,557,387.0,23652.0,525.0,564.0,39.0
239,青岛理工大学,2015,电子信息科学与技术,556,351.0,24003.0,525.0,564.0,39.0
241,青岛理工大学,2015,电子信息工程,559,384.0,22867.0,525.0,564.0,39.0
270,青岛理工大学,2015,建筑电气与智能化,558,398.0,23265.0,525.0,564.0,39.0
295,青岛理工大学,2015,信息与计算科学,555,413.0,24416.0,525.0,564.0,39.0
307,青岛工学院,2014,自动化,430,0.0,0.0,,,
308,青岛工学院,2014,电子信息工程,440,0.0,0.0,,,
309,青岛工学院,2014,机械设计制造及其自动化,452,0.0,0.0,,,
320,青岛大学,2011,计算机科学与技术,601,0.0,0.0,,,
366,青岛大学,2011,信息与计算科学,598,0.0,0.0,,,
321,青岛大学,2012,计算机科学与技术,575,0.0,0.0,,,
330,青岛大学,2012,电气信息,580,0.0,0.0,,,
367,青岛大学,2012,信息与计算科学,564,0.0,0.0,,,
322,青岛大学,2013,计算机科学与技术,546,357.0,17341.0,501.0,549.0,48.0
328,青岛大学,2013,电气工程及其自动化,565,293.0,11262.0,501.0,549.0,48.0
364,青岛大学,2013,信息安全,548,361.0,16611.0,501.0,549.0,48.0
324,青岛大学,2015,自动化,569,361.0,19221.0,525.0,566.0,41.0
325,青岛大学,2015,网络工程,564,337.0,21035.0,525.0,566.0,41.0
329,青岛大学,2015,电气工程及其自动化,582,294.0,14798.0,525.0,566.0,41.0
365,青岛大学,2015,信息安全,559,384.0,22867.0,525.0,566.0,41.0
374,青岛农业大学,2014,电子商务,479,0.0,0.0,,,
381,集美大学,2012,通信工程,573,0.0,0.0,,,
384,集美大学,2012,软件工程,568,0.0,0.0,,,
390,集美大学,2012,计算机科学与技术,569,0.0,0.0,,,
401,集美大学,2012,网络工程,566,0.0,0.0,,,
406,集美大学,2012,电子科学与技术,568,0.0,0.0,,,
410,集美大学,2012,电子信息工程,571,0.0,0.0,,,
427,集美大学,2012,机械电子工程,567,0.0,0.0,,,
442,集美大学,2012,地理信息系统,567,0.0,0.0,,,
453,集美大学,2012,光信息科学与技术,567,0.0,0.0,,,
454,集美大学,2012,信息与计算科学,567,0.0,0.0,,,
382,集美大学,2013,通信工程,523,418.0,25970.0,501.0,542.0,41.0
385,集美大学,2013,软件工程,543,365.0,18408.0,501.0,542.0,41.0
391,集美大学,2013,计算机科学与技术,544,357.0,18043.0,501.0,542.0,41.0
402,集美大学,2013,网络工程,540,334.0,19461.0,501.0,542.0,41.0
