,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
11,首都经济贸易大学,2013,信息管理与信息系统,571,268.0,9632.0,,,
76,陕西师范大学,2015,电子信息科学与技术,584,300.0,14202.0,525.0,584.0,59.0
98,长沙理工大学,2015,电气工程及其自动化,595,297.0,10944.0,,,
103,长沙理工大学,2013,电子信息工程,557,305.0,13667.0,,,
156,长安大学,2015,软件工程,597,296.0,10364.0,525.0,598.0,73.0
160,长安大学,2015,电气工程及其自动化,603,271.0,8709.0,525.0,598.0,73.0
162,长安大学,2015,电子商务,592,299.0,11776.0,525.0,598.0,73.0
165,长安大学,2013,机械设计制造及其自动化,564,267.0,11529.0,501.0,559.0,58.0
166,长安大学,2015,机械设计制造及其自动化,600,288.0,9518.0,525.0,598.0,73.0
168,长安大学,2013,机械电子工程,567,254.0,10696.0,501.0,559.0,58.0
169,长安大学,2015,机械电子工程,603,271.0,8709.0,525.0,598.0,73.0
208,重庆大学,2013,光电信息科学与工程,589,183.0,5663.0,,,
233,郑州大学,2015,通信工程,595,297.0,10944.0,525.0,593.0,68.0
234,郑州大学,2013,软件工程,562,315.0,12112.0,501.0,562.0,61.0
235,郑州大学,2015,软件工程,596,283.0,10647.0,525.0,593.0,68.0
236,郑州大学,2013,轨道交通信号与控制,560,293.0,12725.0,501.0,562.0,61.0
239,郑州大学,2015,自动化,596,283.0,10647.0,525.0,593.0,68.0
242,郑州大学,2013,电子信息科学与技术,563,268.0,11797.0,501.0,562.0,61.0
244,郑州大学,2013,生物信息学,558,329.0,13362.0,501.0,562.0,61.0
249,郑州大学,2013,信息管理与信息系统,560,293.0,12725.0,501.0,562.0,61.0
250,郑州大学,2013,信息与计算科学,558,329.0,13362.0,501.0,562.0,61.0
331,西安电子科技大学,2013,软件工程,569,260.0,10155.0,501.0,579.0,78.0
332,西安电子科技大学,2015,软件工程,615,218.0,5924.0,525.0,617.0,92.0
335,西安电子科技大学,2015,计算机科学与技术,618,211.0,5327.0,525.0,617.0,92.0
337,西安电子科技大学,2013,空间信息与数字技术,576,233.0,8382.0,501.0,579.0,78.0
340,西安电子科技大学,2015,电气工程及其自动化,618,211.0,5327.0,525.0,617.0,92.0
342,西安电子科技大学,2013,电子科学与技术,586,186.0,6207.0,501.0,579.0,78.0
346,西安电子科技大学,2015,电子信息科学与技术,617,182.0,5509.0,525.0,617.0,92.0
350,西安电子科技大学,2013,机械设计制造及其自动化,576,233.0,8382.0,501.0,579.0,78.0
351,西安电子科技大学,2015,机械设计制造及其自动化,614,213.0,6137.0,525.0,617.0,92.0
362,西安理工大学,2013,电气工程及其自动化,557,305.0,13667.0,,,
401,西南财经大学,2013,计算机科学与技术,592,191.0,5135.0,,,
404,西南财经大学,2013,信息管理与信息系统,591,183.0,5318.0,,,
416,西南大学,2014,计算机类（中外合作办学...,574,297.0,12649.0,506.0,574.0,68.0
417,西南大学,2014,自动化类（中外合作办学...,575,278.0,12352.0,506.0,574.0,68.0
419,西南大学,2014,电气工程及其自动化,577,271.0,11773.0,506.0,574.0,68.0
420,西南大学,2015,电气工程及其自动化,597,296.0,10364.0,525.0,556.0,31.0
423,西南大学,2013,电子科学与技术,561,320.0,12432.0,501.0,555.0,54.0
424,西南大学,2013,电子信息类,562,315.0,12112.0,501.0,555.0,54.0
425,西南大学,2014,电子信息类,591,213.0,8255.0,506.0,574.0,68.0
426,西南大学,2015,电子信息类,596,283.0,10647.0,525.0,556.0,31.0
428,西南交通大学,2014,通信工程,603,185.0,5689.0,506.0,602.0,96.0
432,西南交通大学,2014,软件工程,595,224.0,7369.0,506.0,602.0,96.0
433,西南交通大学,2014,轨道交通信号与控制,599,191.0,6496.0,506.0,602.0,96.0
434,西南交通大学,2015,轨道交通信号与控制,616,197.0,5706.0,525.0,617.0,92.0
436,西南交通大学,2014,计算机科学与技术,600,212.0,6305.0,506.0,602.0,96.0
438,西南交通大学,2014,自动化,597,234.0,6931.0,506.0,602.0,96.0
439,西南交通大学,2015,自动化,617,182.0,5509.0,525.0,617.0,92.0
