,university,year,major,avg_major_score,stu_count,stu_ranking,score_line,avg_score,score_diff
0,龙岩学院,2014,软件工程,448,0.0,0.0,,,
1,龙岩学院,2014,车辆工程,442,0.0,0.0,,,
2,龙岩学院,2014,财务管理,483,0.0,0.0,,,
3,龙岩学院,2014,电气工程及其自动化,467,0.0,0.0,,,
4,龙岩学院,2014,生物技术,460,0.0,0.0,,,
5,龙岩学院,2014,机械设计制造及其自动化,456,0.0,0.0,,,
6,龙岩学院,2014,应用化学,467,0.0,0.0,,,
7,龙岩学院,2014,广播电视学,472,0.0,0.0,,,
8,龙岩学院,2014,市场营销,470,0.0,0.0,,,
9,龙岩学院,2014,动物科学,440,0.0,0.0,,,
10,龙岩学院,2014,动物医学,442,0.0,0.0,,,
11,齐齐哈尔大学,2014,食品质量与安全,451,0.0,0.0,,,
12,齐齐哈尔大学,2014,食品科学与工程,452,0.0,0.0,,,
13,齐齐哈尔大学,2014,轻化工程,452,0.0,0.0,,,
14,齐齐哈尔大学,2014,纺织工程,451,0.0,0.0,,,
15,齐齐哈尔大学,2014,电子信息工程,455,0.0,0.0,,,
16,齐齐哈尔大学,2014,应用化学,461,0.0,0.0,,,
17,齐齐哈尔大学,2014,化学工程与工艺,463,0.0,0.0,,,
18,齐齐哈尔大学,2014,包装工程,457,0.0,0.0,,,
19,齐齐哈尔大学,2014,制药工程,451,0.0,0.0,,,
20,齐齐哈尔医学院,2014,预防医学,455,0.0,0.0,,,
21,齐齐哈尔医学院,2014,口腔医学,467,0.0,0.0,,,
22,齐齐哈尔医学院,2014,临床医学,497,0.0,0.0,,,
23,齐鲁理工学院,2014,通信工程,428,0.0,0.0,,,
24,齐鲁理工学院,2014,贸易经济,430,0.0,0.0,,,
25,齐鲁理工学院,2014,电子信息工程,431,0.0,0.0,,,
26,齐鲁工业大学,2014,行政管理,467,0.0,0.0,,,
27,齐鲁工业大学,2014,生物工程,472,0.0,0.0,,,
28,齐鲁工业大学,2014,环境科学,468,0.0,0.0,,,
29,齐鲁工业大学,2014,广告学,476,0.0,0.0,,,
30,齐鲁工业大学,2014,国际商务,472,0.0,0.0,,,
31,齐鲁工业大学,2014,光电信息科学与工程,472,0.0,0.0,,,
32,齐鲁工业大学,2014,信息与计算科学,464,0.0,0.0,,,
33,齐鲁工业大学,2014,人力资源管理,474,0.0,0.0,,,
34,齐鲁医药学院,2014,临床医学,459,0.0,0.0,,,
35,黑龙江财经学院,2014,金融学,428,0.0,0.0,,,
36,黑龙江财经学院,2014,资产评估,428,0.0,0.0,,,
37,黑龙江科技大学,2014,计算机科学与技术,448,0.0,0.0,,,
38,黑龙江科技大学,2014,自动化,450,0.0,0.0,,,
39,黑龙江科技大学,2014,机械电子工程,451,0.0,0.0,,,
40,黑龙江科技大学,2014,应用统计学,439,0.0,0.0,,,
41,黑龙江科技大学,2014,工程力学,439,0.0,0.0,,,
42,黑龙江科技大学,2014,工业工程,448,0.0,0.0,,,
43,黑龙江科技大学,2014,国际经济与贸易,446,0.0,0.0,,,
44,黑龙江大学,2014,物联网工程,477,0.0,0.0,,,
45,黑龙江大学,2014,应用化学,490,0.0,0.0,,,
46,黑龙江八一农垦大学,2014,食品科学与工程,436,0.0,0.0,,,
47,黑龙江八一农垦大学,2014,生物科学,435,0.0,0.0,,,
48,黑龙江八一农垦大学,2014,机械设计制造及其自动化,446,0.0,0.0,,,
49,黑龙江八一农垦大学,2014,土木工程,449,0.0,0.0,,,
50,黑龙江八一农垦大学,2014,园林,434,0.0,0.0,,,
51,黑龙江八一农垦大学,2014,制药工程,452,0.0,0.0,,,
52,黑龙江八一农垦大学,2014,信息与计算科学,438,0.0,0.0,,,
53,黑龙江中医药大学,2014,药物分析,442,0.0,0.0,,,
54,黑龙江中医药大学,2014,公共事业管理,428,0.0,0.0,,,
55,黑龙江中医药大学,2014,中药资源与开发,469,0.0,0.0,,,
56,鲁东大学,2014,船舶与海洋工程,483,0.0,0.0,,,
57,鲁东大学,2014,能源与动力工程,488,0.0,0.0,,,
58,鲁东大学,2014,统计学,498,0.0,0.0,,,
59,鲁东大学,2014,水产养殖学,474,0.0,0.0,,,
60,鲁东大学,2014,材料化学,488,0.0,0.0,,,
61,首都经济贸易大学,2011,贸易经济,632,0.0,0.0,,,
64,首都经济贸易大学,2011,统计学,621,0.0,0.0,,,
68,首都经济贸易大学,2011,管理科学与工程,622,0.0,0.0,,,
70,首都经济贸易大学,2011,税务,628,0.0,0.0,,,
72,首都经济贸易大学,2011,安全工程,618,0.0,0.0,,,
74,首都经济贸易大学,2011,劳动与社会保障,616,0.0,0.0,,,
75,首都经济贸易大学,2011,信息管理与信息系统,619,0.0,0.0,,,
62,首都经济贸易大学,2012,贸易经济,600,0.0,0.0,,,
65,首都经济贸易大学,2012,统计学,598,0.0,0.0,,,
71,首都经济贸易大学,2012,税务,596,0.0,0.0,,,
73,首都经济贸易大学,2012,安全工程,593,0.0,0.0,,,
63,首都经济贸易大学,2013,贸易经济,572,282.0,9364.0,,,
66,首都经济贸易大学,2013,管理科学与工程类,571,268.0,9632.0,,,
