university,year,score_line,avg_score_x,score_diff,is_985,is_211,admission_count
首都经济贸易大学,2011,573,621,48,0,0,0.0
首都经济贸易大学,2012,546,595,49,0,0,12.0
首都经济贸易大学,2013,501,577,76,0,0,13.0
首都经济贸易大学,2014,506,585,79,0,0,0.0
首都师范大学,2011,573,592,19,0,0,0.0
首都师范大学,2013,501,544,43,0,0,10.0
首都师范大学,2014,506,552,46,0,0,0.0
首都师范大学,2015,525,575,50,0,0,0.0
首都医科大学,2011,573,651,78,0,0,0.0
首都医科大学,2012,546,608,62,0,0,25.0
首都医科大学,2013,501,604,103,0,0,10.0
首都医科大学,2014,506,616,110,0,0,0.0
首都医科大学,2015,525,615,90,0,0,0.0
青海大学,2011,573,586,13,0,1,0.0
青海大学,2012,546,568,22,0,1,6.0
青海大学,2014,506,537,31,0,1,0.0
青海大学,2015,525,561,36,0,1,0.0
青岛科技大学,2011,573,594,21,0,0,0.0
青岛科技大学,2012,546,568,22,0,0,50.0
青岛科技大学,2014,506,543,37,0,0,0.0
青岛理工大学,2011,573,594,21,0,0,0.0
青岛理工大学,2013,501,546,45,0,0,70.0
青岛理工大学,2014,506,550,44,0,0,0.0
青岛理工大学,2015,525,564,39,0,0,0.0
青岛大学,2013,501,549,48,0,0,49.0
青岛大学,2014,506,561,55,0,0,0.0
青岛大学,2015,525,566,41,0,0,0.0
集美大学,2013,501,542,41,0,0,1834.0
集美大学,2014,506,549,43,0,0,0.0
集美大学,2015,525,566,41,0,0,0.0
陕西科技大学,2011,573,586,13,0,0,0.0
陕西科技大学,2012,546,558,12,0,0,0.0
陕西科技大学,2013,501,513,12,0,0,0.0
陕西科技大学,2014,506,526,20,0,0,0.0
陕西师范大学,2011,573,593,20,0,1,0.0
陕西师范大学,2012,546,568,22,0,1,35.0
陕西师范大学,2013,501,542,41,0,1,20.0
陕西师范大学,2014,506,567,61,0,1,0.0
陕西师范大学,2015,525,584,59,0,1,0.0
闽江学院,2011,573,610,37,0,0,0.0
闽江学院,2012,546,588,42,0,0,50.0
闽江学院,2013,501,562,61,0,0,36.0
闽江学院,2014,506,561,55,0,0,0.0
闽江学院,2015,525,574,49,0,0,0.0
闽南师范大学,2013,501,510,9,0,0,0.0
闽南师范大学,2014,506,520,14,0,0,0.0
长沙理工大学,2013,501,546,45,0,0,96.0
长沙理工大学,2014,506,561,55,0,0,0.0
长沙理工大学,2015,525,573,48,0,0,0.0
长沙医学院,2011,573,514,-59,0,0,0.0
长春理工大学,2012,546,559,13,0,0,0.0
长春理工大学,2014,506,531,25,0,0,0.0
长春理工大学,2015,525,556,31,0,0,0.0
长安大学,2012,546,586,40,0,1,93.0
长安大学,2013,501,559,58,0,1,110.0
长安大学,2014,506,582,76,0,1,0.0
长安大学,2015,525,598,73,0,1,0.0
重庆邮电大学,2013,501,540,39,0,0,66.0
重庆邮电大学,2014,506,556,50,0,0,0.0
重庆邮电大学,2015,525,578,53,0,0,0.0
重庆大学,2011,573,633,60,1,1,0.0
重庆大学,2012,546,615,69,1,1,120.0
重庆大学,2013,501,595,94,1,1,146.0
重庆大学,2014,506,614,108,1,1,0.0
重庆医科大学,2011,573,621,48,0,0,0.0
重庆医科大学,2012,546,595,49,0,0,0.0
重庆医科大学,2013,501,561,60,0,0,20.0
重庆医科大学,2014,506,591,85,0,0,0.0
重庆医科大学,2015,525,605,80,0,0,0.0
重庆交通大学,2014,506,552,46,0,0,0.0
重庆交通大学,2015,525,570,45,0,0,0.0
郑州大学,2011,573,608,35,0,1,0.0
郑州大学,2012,546,586,40,0,1,149.0
郑州大学,2013,501,562,61,0,1,185.0
郑州大学,2014,506,576,70,0,1,0.0
郑州大学,2015,525,593,68,0,1,0.0
辽宁工程技术大学,2012,546,556,10,0,0,58.0
辽宁工程技术大学,2014,506,529,23,0,0,0.0
辽宁大学,2011,573,593,20,0,1,0.0
辽宁大学,2013,501,553,52,0,1,20.0
辽宁大学,2014,506,568,62,0,1,0.0
辽宁大学,2015,525,576,51,0,1,0.0
贵州大学,2011,573,594,21,0,1,0.0
贵州大学,2013,501,548,47,0,1,32.0
贵州大学,2014,506,556,50,0,1,0.0
贵州大学,2015,525,582,57,0,1,0.0
西安邮电大学,2011,573,593,20,0,0,0.0
西安邮电大学,2013,501,546,45,0,0,21.0
西安邮电大学,2014,506,553,47,0,0,0.0
西安邮电大学,2015,525,567,42,0,0,0.0
西安科技大学,2013,501,514,13,0,0,0.0
西安科技大学,2014,506,538,32,0,0,0.0
西安科技大学,2015,525,558,33,0,0,0.0
西安电子科技大学,2011,573,629,56,0,1,0.0
西安电子科技大学,2012,546,606,60,0,1,113.0
西安电子科技大学,2013,501,579,78,0,1,145.0
西安电子科技大学,2014,506,601,95,0,1,0.0
西安电子科技大学,2015,525,617,92,0,1,0.0
西安理工大学,2011,573,597,24,0,0,0.0
西安理工大学,2012,546,576,30,0,0,31.0
西安理工大学,2013,501,542,41,0,0,32.0
西安理工大学,2014,506,555,49,0,0,0.0
西安理工大学,2015,525,574,49,0,0,0.0
西安建筑科技大学,2011,573,612,39,0,0,0.0
西安建筑科技大学,2012,546,584,38,0,0,18.0
西安建筑科技大学,2013,501,562,61,0,0,21.0
西安建筑科技大学,2014,506,574,68,0,0,0.0
西安外国语大学,2011,573,620,47,0,0,0.0
西安外国语大学,2012,546,591,45,0,0,8.0
西安外国语大学,2013,501,560,59,0,0,10.0
西安外国语大学,2014,506,562,56,0,0,0.0
西安交通大学,2011,573,662,89,1,1,0.0
西安交通大学,2012,546,645,99,1,1,61.0
西安交通大学,2014,506,638,132,1,1,0.0
西南财经大学,2011,573,646,73,0,1,0.0
西南财经大学,2012,546,626,80,0,1,54.0
西南财经大学,2013,501,600,99,0,1,53.0
西南财经大学,2014,506,621,115,0,1,0.0
西南政法大学,2011,573,625,52,0,0,0.0
西南政法大学,2012,546,599,53,0,0,76.0
西南政法大学,2013,501,572,71,0,0,76.0
西南政法大学,2014,506,584,78,0,0,0.0
西南大学,2011,573,602,29,0,1,0.0
西南大学,2012,546,578,32,0,1,44.0
西南大学,2013,501,555,54,0,1,46.0
西南大学,2014,506,574,68,0,1,0.0
西南大学,2015,525,556,31,0,1,0.0
西南交通大学,2011,573,630,57,0,1,0.0
西南交通大学,2012,546,606,60,0,1,78.0
西南交通大学,2013,501,578,77,0,1,0.0
西南交通大学,2014,506,602,96,0,1,0.0
西南交通大学,2015,525,617,92,0,1,0.0
西北政法大学,2011,573,598,25,0,0,0.0
西北政法大学,2012,546,583,37,0,0,9.0
西北政法大学,2013,501,551,50,0,0,9.0
西北政法大学,2014,506,567,61,0,0,0.0
西北政法大学,2015,525,593,68,0,0,0.0
西北工业大学,2011,573,638,65,1,1,0.0
西北工业大学,2012,546,616,70,1,1,27.0
西北工业大学,2013,501,600,99,1,1,26.0
西北工业大学,2014,506,611,105,1,1,0.0
西北大学,2013,501,554,53,0,1,23.0
西北大学,2014,506,571,65,0,1,0.0
西北大学,2015,525,589,64,0,1,0.0
西北农林科技大学,2013,501,555,54,1,1,66.0
西北农林科技大学,2014,506,570,64,1,1,0.0
苏州大学,2011,573,624,51,0,1,0.0
苏州大学,2012,546,603,57,0,1,0.0
苏州大学,2013,501,585,84,0,1,0.0
苏州大学,2014,506,598,92,0,1,0.0
苏州大学,2015,525,612,87,0,1,0.0
福建师范大学,2011,573,592,19,0,0,0.0
福建师范大学,2012,546,566,20,0,0,0.0
福建师范大学,2013,501,537,36,0,0,1398.0
福建师范大学,2014,506,545,39,0,0,0.0
福建工程学院,2014,506,540,34,0,0,0.0
福建医科大学,2012,546,582,36,0,0,1757.0
福建医科大学,2013,501,558,57,0,0,2025.0
福建医科大学,2014,506,574,68,0,0,0.0
福建医科大学,2015,525,588,63,0,0,0.0
