university,year,score_line,avg_score,score_diff
首都医科大学,2011,573,651,78
首都医科大学,2012,546,608,62
首都医科大学,2014,506,616,110
首都医科大学,2015,525,615,90
青海大学,2011,573,586,13
青海大学,2015,525,561,36
青岛理工大学,2011,573,594,21
青岛理工大学,2013,501,546,45
青岛理工大学,2014,506,550,44
青岛理工大学,2015,525,564,39
青岛大学,2013,501,549,48
青岛大学,2015,525,566,41
集美大学,2013,501,542,41
集美大学,2014,506,549,43
集美大学,2015,525,566,41
陕西师范大学,2011,573,593,20
陕西师范大学,2013,501,542,41
陕西师范大学,2015,525,584,59
长春理工大学,2012,546,559,13
长春理工大学,2014,506,531,25
长春理工大学,2015,525,556,31
长安大学,2013,501,559,58
长安大学,2014,506,582,76
长安大学,2015,525,598,73
重庆邮电大学,2015,525,578,53
重庆医科大学,2011,573,621,48
重庆医科大学,2012,546,595,49
重庆医科大学,2013,501,561,60
重庆医科大学,2014,506,591,85
重庆医科大学,2015,525,605,80
重庆交通大学,2015,525,570,45
郑州大学,2013,501,562,61
郑州大学,2014,506,576,70
郑州大学,2015,525,593,68
贵州大学,2011,573,594,21
贵州大学,2013,501,548,47
贵州大学,2015,525,582,57
西安邮电大学,2011,573,593,20
西安邮电大学,2013,501,546,45
西安邮电大学,2015,525,567,42
西安科技大学,2013,501,514,13
西安科技大学,2015,525,558,33
西安电子科技大学,2011,573,629,56
西安电子科技大学,2013,501,579,78
西安电子科技大学,2014,506,601,95
西安电子科技大学,2015,525,617,92
西南大学,2013,501,555,54
西南大学,2014,506,574,68
西南大学,2015,525,556,31
西南交通大学,2011,573,630,57
西南交通大学,2013,501,578,77
西南交通大学,2014,506,602,96
西南交通大学,2015,525,617,92
西北政法大学,2013,501,551,50
西北政法大学,2015,525,593,68
西北大学,2013,501,554,53
西北大学,2014,506,571,65
西北大学,2015,525,589,64
苏州大学,2012,546,603,57
苏州大学,2013,501,585,84
苏州大学,2014,506,598,92
苏州大学,2015,525,612,87
福建医科大学,2013,501,558,57
福建医科大学,2014,506,574,68
福建医科大学,2015,525,588,63
福州大学,2011,573,615,42
福州大学,2012,546,595,49
福州大学,2013,501,567,66
福州大学,2014,506,582,76
福州大学,2015,525,597,72
石家庄铁道大学,2011,573,594,21
石家庄铁道大学,2015,525,558,33
燕山大学,2012,546,576,30
燕山大学,2013,501,549,48
燕山大学,2015,525,580,55
湖南科技大学,2011,573,594,21
湖南科技大学,2015,525,558,33
湖南师范大学,2013,501,553,52
湖南师范大学,2014,506,576,70
湖南师范大学,2015,525,590,65
湖南中医药大学,2014,506,548,42
湖南中医药大学,2015,525,563,38
