,university,year,score_line,avg_score,score_diff
430,首都师范大学,2014,506,552,46
555,首都师范大学,2015,525,575,50
24,首都医科大学,2011,573,651,78
157,首都医科大学,2012,546,608,62
200,首都医科大学,2013,501,604,103
484,首都医科大学,2015,525,615,90
387,陕西师范大学,2014,506,567,61
536,陕西师范大学,2015,525,584,59
273,闽江学院,2013,501,562,61
557,闽江学院,2015,525,574,49
409,长沙理工大学,2014,506,561,55
559,长沙理工大学,2015,525,573,48
283,长安大学,2013,501,559,58
355,长安大学,2014,506,582,76
506,长安大学,2015,525,598,73
421,重庆邮电大学,2014,506,556,50
545,重庆邮电大学,2015,525,578,53
81,重庆医科大学,2011,573,621,48
191,重庆医科大学,2012,546,595,49
278,重庆医科大学,2013,501,561,60
337,重庆医科大学,2014,506,591,85
498,重庆医科大学,2015,525,605,80
428,重庆交通大学,2014,506,552,46
563,重庆交通大学,2015,525,570,45
271,郑州大学,2013,501,562,61
366,郑州大学,2014,506,576,70
515,郑州大学,2015,525,593,68
297,辽宁大学,2013,501,553,52
385,辽宁大学,2014,506,568,62
551,辽宁大学,2015,525,576,51
419,贵州大学,2014,506,556,50
538,贵州大学,2015,525,582,57
58,西安电子科技大学,2011,573,629,56
164,西安电子科技大学,2012,546,606,60
237,西安电子科技大学,2013,501,579,78
327,西安电子科技大学,2014,506,601,95
480,西安电子科技大学,2015,525,617,92
424,西安理工大学,2014,506,555,49
556,西安理工大学,2015,525,574,49
57,西南交通大学,2011,573,630,57
163,西南交通大学,2012,546,606,60
238,西南交通大学,2013,501,578,77
322,西南交通大学,2014,506,602,96
483,西南交通大学,2015,525,617,92
306,西北政法大学,2013,501,551,50
388,西北政法大学,2014,506,567,61
517,西北政法大学,2015,525,593,68
294,西北大学,2013,501,554,53
378,西北大学,2014,506,571,65
525,西北大学,2015,525,589,64
72,苏州大学,2011,573,624,51
171,苏州大学,2012,546,603,57
231,苏州大学,2013,501,585,84
331,苏州大学,2014,506,598,92
487,苏州大学,2015,525,612,87
284,福建医科大学,2013,501,558,57
370,福建医科大学,2014,506,574,68
527,福建医科大学,2015,525,588,63
92,福州大学,2011,573,615,42
189,福州大学,2012,546,595,49
263,福州大学,2013,501,567,66
356,福州大学,2014,506,582,76
508,福州大学,2015,525,597,72
399,燕山大学,2014,506,565,59
543,燕山大学,2015,525,580,55
417,湘潭大学,2014,506,559,53
554,湘潭大学,2015,525,575,50
298,湖南师范大学,2013,501,553,52
365,湖南师范大学,2014,506,576,70
524,湖南师范大学,2015,525,590,65
75,温州医科大学,2011,573,623,50
244,温州医科大学,2013,501,576,75
335,温州医科大学,2014,506,593,87
476,温州医科大学,2015,525,621,96
74,深圳大学,2011,573,624,51
178,深圳大学,2012,546,600,54
249,深圳大学,2013,501,572,71
341,深圳大学,2014,506,590,84
493,深圳大学,2015,525,609,84
303,海南大学,2013,501,552,51
381,海南大学,2014,506,569,63
540,海南大学,2015,525,581,56
429,浙江财经大学,2014,506,552,46
539,浙江财经大学,2015,525,581,56
304,浙江理工大学,2013,501,552,51
400,浙江理工大学,2014,506,564,58
548,浙江理工大学,2015,525,578,53
426,浙江师范大学,2014,506,553,47
562,浙江师范大学,2015,525,570,45
78,浙江工商大学,2011,573,622,49
274,浙江工商大学,2013,501,561,60
362,浙江工商大学,2014,506,578,72
512,浙江工商大学,2015,525,594,69
285,浙江工业大学,2013,501,557,56
375,浙江工业大学,2014,506,572,66
528,浙江工业大学,2015,525,587,62
63,河海大学,2011,573,627,54
165,河海大学,2012,546,606,60
232,河海大学,2013,501,583,82
332,河海大学,2014,506,597,91
495,河海大学,2015,525,608,83
442,河南大学,2014,506,546,40
569,河南大学,2015,525,567,42
305,河北工业大学,2013,501,551,50
382,河北工业大学,2014,506,569,63
526,河北工业大学,2015,525,588,63
302,江苏大学,2013,501,552,51
396,江苏大学,2014,506,565,59
534,江苏大学,2015,525,584,59
79,江南大学,2011,573,621,48
188,江南大学,2012,546,595,49
248,江南大学,2013,501,574,73
346,江南大学,2014,506,586,80
499,江南大学,2015,525,603,78
286,汕头大学,2013,501,557,56
376,汕头大学,2014,506,572,66
523,汕头大学,2015,525,591,66
60,武汉理工大学,2011,573,628,55
167,武汉理工大学,2012,546,605,59
251,武汉理工大学,2013,501,572,71
491,武汉理工大学,2015,525,611,86
64,暨南大学,2011,573,627,54
148,暨南大学,2012,546,612,66
211,暨南大学,2013,501,598,97
474,暨南大学,2015,525,623,98
431,新疆医科大学,2014,506,551,45
511,新疆医科大学,2015,525,596,71
408,扬州大学,2014,506,561,55
544,扬州大学,2015,525,579,54
308,广西大学,2013,501,550,49
390,广西大学,2014,506,566,60
542,广西大学,2015,525,580,55
266,广州大学,2013,501,564,63
397,广州大学,2014,506,565,59
531,广州大学,2015,525,585,60
257,广州医科大学,2013,501,568,67
374,广州医科大学,2014,506,572,66
550,广州医科大学,2015,525,577,52
412,广东工业大学,2014,506,560,54
547,广东工业大学,2015,525,578,53
42,广东外语外贸大学,2011,573,637,64
156,广东外语外贸大学,2012,546,608,62
226,广东外语外贸大学,2013,501,589,88
325,广东外语外贸大学,2014,506,602,96
492,广东外语外贸大学,2015,525,610,85
447,山东科技大学,2014,506,544,38
568,山东科技大学,2015,525,567,42
270,安徽财经大学,2013,501,563,62
383,安徽财经大学,2014,506,568,62
532,安徽财经大学,2015,525,585,60
289,安徽大学,2013,501,556,55
373,安徽大学,2014,506,572,66
518,安徽大学,2015,525,592,67
99,安徽医科大学,2011,573,613,40
180,安徽医科大学,2012,546,599,53
291,安徽医科大学,2013,501,555,54
372,安徽医科大学,2014,506,573,67
546,安徽医科大学,2015,525,578,53
452,宁波大学,2014,506,542,36
553,宁波大学,2015,525,575,50
52,天津财经大学,2011,573,632,59
174,天津财经大学,2012,546,601,55
235,天津财经大学,2013,501,581,80
345,天津财经大学,2014,506,586,80
503,天津财经大学,2015,525,600,75
62,天津医科大学,2011,573,628,55
176,天津医科大学,2012,546,600,54
320,天津医科大学,2014,506,603,97
478,天津医科大学,2015,525,619,94
33,大连理工大学,2011,573,640,67
133,大连理工大学,2012,546,620,74
203,大连理工大学,2013,501,602,101
326,大连理工大学,2014,506,602,96
486,大连理工大学,2015,525,614,89
77,大连海事大学,2011,573,622,49
195,大连海事大学,2012,546,592,46
258,大连海事大学,2013,501,567,66
360,大连海事大学,2014,506,578,72
510,大连海事大学,2015,525,596,71
66,大连医科大学,2011,573,627,54
287,大连医科大学,2013,501,557,56
401,大连医科大学,2014,506,563,57
520,大连医科大学,2015,525,591,66
418,四川农业大学,2014,506,557,51
565,四川农业大学,2015,525,569,44
97,合肥工业大学,2011,573,614,41
196,合肥工业大学,2012,546,592,46
256,合肥工业大学,2013,501,569,68
363,合肥工业大学,2014,506,577,71
513,合肥工业大学,2015,525,594,69
566,南昌航空大学,2015,525,568,43
269,南昌大学,2013,501,563,62
364,南昌大学,2014,506,577,71
514,南昌大学,2015,525,593,68
36,南方医科大学,2011,573,638,65
230,南方医科大学,2013,501,586,85
501,南方医科大学,2015,525,601,76
414,南华大学,2014,506,560,54
564,南华大学,2015,525,569,44
65,南京邮电大学,2011,573,627,54
175,南京邮电大学,2012,546,601,55
260,南京邮电大学,2013,501,567,66
357,南京邮电大学,2014,506,581,75
509,南京邮电大学,2015,525,596,71
68,南京财经大学,2011,573,625,52
181,南京财经大学,2012,546,599,53
252,南京财经大学,2013,501,571,70
353,南京财经大学,2014,506,583,77
505,南京财经大学,2015,525,598,73
47,南京理工大学,2011,573,634,61
160,南京理工大学,2012,546,607,61
228,南京理工大学,2013,501,587,86
321,南京理工大学,2014,506,603,97
479,南京理工大学,2015,525,618,93
309,南京工业大学,2013,501,550,49
392,南京工业大学,2014,506,566,60
537,南京工业大学,2015,525,583,58
41,南京医科大学,2011,573,637,64
155,南京医科大学,2012,546,609,63
240,南京医科大学,2013,501,577,76
324,南京医科大学,2014,506,602,96
500,南京医科大学,2015,525,603,78
281,南京农业大学,2013,501,560,59
367,南京农业大学,2014,506,576,70
522,南京农业大学,2015,525,591,66
158,华北电力大学,2012,546,608,62
204,华北电力大学,2013,501,601,100
470,华北电力大学,2015,525,630,105
436,华侨大学,2014,506,550,44
541,华侨大学,2015,525,580,55
91,华中师范大学,2011,573,616,43
184,华中师范大学,2012,546,595,49
255,华中师范大学,2013,501,570,69
328,华中师范大学,2014,506,599,93
488,华中师范大学,2015,525,611,86
49,华东理工大学,2011,573,633,60
144,华东理工大学,2012,546,614,68
217,华东理工大学,2013,501,594,93
313,华东理工大学,2014,506,609,103
475,华东理工大学,2015,525,622,97
423,华东交通大学,2014,506,555,49
549,华东交通大学,2015,525,577,52
415,北方工业大学,2014,506,560,54
558,北方工业大学,2015,525,574,49
45,北京科技大学,2011,573,636,63
147,北京科技大学,2012,546,613,67
224,北京科技大学,2013,501,590,89
317,北京科技大学,2014,506,605,99
477,北京科技大学,2015,525,619,94
85,北京林业大学,2011,573,620,47
187,北京林业大学,2012,546,595,49
254,北京林业大学,2013,501,571,70
344,北京林业大学,2014,506,588,82
516,北京林业大学,2015,525,593,68
288,北京建筑大学,2013,501,557,56
354,北京建筑大学,2014,506,583,77
519,北京建筑大学,2015,525,592,67
416,北京工商大学,2014,506,560,54
535,北京工商大学,2015,525,584,59
76,北京工业大学,2011,573,622,49
186,北京工业大学,2012,546,595,49
275,北京工业大学,2013,501,561,60
351,北京工业大学,2014,506,584,78
502,北京工业大学,2015,525,600,75
94,北京化工大学,2011,573,615,42
193,北京化工大学,2012,546,593,47
268,北京化工大学,2013,501,564,63
359,北京化工大学,2014,506,579,73
504,北京化工大学,2015,525,598,73
422,北京体育大学,2014,506,555,49
552,北京体育大学,2015,525,576,51
32,北京交通大学,2011,573,640,67
136,北京交通大学,2012,546,618,72
221,北京交通大学,2013,501,591,90
318,北京交通大学,2014,506,604,98
473,北京交通大学,2015,525,624,99
83,兰州大学,2011,573,620,47
183,兰州大学,2012,546,598,52
245,兰州大学,2013,501,576,75
336,兰州大学,2014,506,592,86
494,兰州大学,2015,525,608,83
299,云南大学,2013,501,553,52
530,云南大学,2015,525,585,60
73,中央民族大学,2011,573,624,51
169,中央民族大学,2012,546,603,57
234,中央民族大学,2013,501,581,80
319,中央民族大学,2014,506,603,97
485,中央民族大学,2015,525,614,89
90,中国药科大学,2011,573,616,43
192,中国药科大学,2012,546,594,48
265,中国药科大学,2013,501,565,64
347,中国药科大学,2014,506,586,80
496,中国药科大学,2015,525,608,83
259,中国矿业大学,2013,501,567,66
507,中国矿业大学,2015,525,598,73
61,中国海洋大学,2011,573,628,55
153,中国海洋大学,2012,546,609,63
222,中国海洋大学,2013,501,591,90
316,中国海洋大学,2014,506,605,99
481,中国海洋大学,2015,525,617,92
296,中国民航大学,2013,501,553,52
394,中国民航大学,2014,506,565,59
533,中国民航大学,2015,525,584,59
54,中国农业大学,2011,573,632,59
149,中国农业大学,2012,546,612,66
216,中国农业大学,2013,501,594,93
310,中国农业大学,2014,506,611,105
472,中国农业大学,2015,525,624,99
30,中南财经政法大学,2011,573,643,70
131,中南财经政法大学,2012,546,620,74
212,中南财经政法大学,2013,501,597,96
471,中南财经政法大学,2015,525,627,102
80,东华大学,2011,573,621,48
173,东华大学,2012,546,602,56
236,东华大学,2013,501,580,79
334,东华大学,2014,506,595,89
490,东华大学,2015,525,611,86
34,东北财经大学,2011,573,638,65
151,东北财经大学,2012,546,610,64
225,东北财经大学,2013,501,590,89
338,东北财经大学,2014,506,591,85
489,东北财经大学,2015,525,611,86
434,东北林业大学,2014,506,551,45
560,东北林业大学,2015,525,571,46
389,东北师范大学,2014,506,566,60
521,东北师范大学,2015,525,591,66
67,东北大学,2011,573,625,52
168,东北大学,2012,546,604,58
233,东北大学,2013,501,582,81
339,东北大学,2014,506,591,85
497,东北大学,2015,525,605,80
451,东北农业大学,2014,506,542,36
567,东北农业大学,2015,525,568,43
393,上海海事大学,2014,506,566,60
529,上海海事大学,2015,525,586,61
433,上海师范大学,2014,506,551,45
561,上海师范大学,2015,525,570,45
55,上海大学,2011,573,631,58
154,上海大学,2012,546,609,63
227,上海大学,2013,501,588,87
323,上海大学,2014,506,602,96
482,上海大学,2015,525,617,92
