年份	考生地区	文理分科	批次名称	最低控制分数线
2016	北京		理科		本科一批		548
2016	天津		理科		本科一批		512
2016	河北		理科		本科一批		525
2016	内蒙古		理科		本科一批		484
2016	辽宁		理科		本科一批		498
2016	吉林		理科		本科一批		530
2016	上海		理科		本科一批		360
2016	浙江		理科		本科一批		600
2016	安徽		理科		本科一批		518
2016	福建		理科		本科一批		465
2016	江西		理科		本科一批		529
2016	湖北		理科		本科一批		512
2016	广西		理科		本科一批		502
2016	重庆		理科		本科一批		525
2016	四川		理科		本科一批		532
年份	考生地区	文理分科	批次名称	最低控制分数线
2013	北京		理科		本科一批		550
2013	天津		理科		本科一批		521
2013	河北		理科		本科一批		538
2013	山西		理科		本科一批		493
2013	内蒙古		理科		本科一批		482
2013	辽宁		理科		本科一批		538
2013	吉林		理科		本科一批		535
2013	黑龙江		理科		本科一批		527
2013	上海		理科		本科一批		405
2013	江苏		理科		本科一批		338
2013	浙江		理科		本科一批		617
2013	安徽		理科		本科一批		490
2013	福建		理科		本科一批		501
2013	江西		理科		本科一批		517
2013	山东		理科		本科一批		554
年份	考生地区	文理分科	批次名称	最低控制分数线
2012	北京		理科		本科一批		477
2012	天津		理科		本科一批		530
2012	河北		理科		本科一批		564
2012	山西		理科		本科一批		530
2012	内蒙古		理科		本科一批		469
2012	辽宁		理科		本科一批		517
2012	吉林		理科		本科一批		515
2012	黑龙江		理科		本科一批		514
2012	上海		理科		本科一批		423
2012	江苏		理科		本科一批		340
2012	浙江		理科		本科一批		593
2012	安徽		理科		本科一批		544
2012	福建		理科		本科一批		546
2012	江西		理科		本科一批		547
2012	山东		理科		本科一批		582
年份	考生地区	文理分科	批次名称	最低控制分数线
2010	北京		理科		本科一批		494
2010	天津		理科		本科一批		509
2010	河北		理科		本科一批		561
2010	山西		理科		本科一批		536
2010	内蒙古		理科		本科一批		510
2010	辽宁		理科		本科一批		518
2010	吉林		理科		本科一批		530
2010	黑龙江		理科		本科一批		532
2010	上海		理科		本科一批		465
2010	江苏		理科		本科一批		355
2010	浙江		理科		本科一批		551
2010	安徽		理科		本科一批		562
2010	福建		理科		本科一批		539
2010	江西		理科		本科一批		515
2010	山东		理科		本科一批		580
年份	考生地区	文理分科	批次名称	最低控制分数线
2015	北京		理科		本科一批		548
2015	天津		理科		本科一批		538
2015	河北		理科		本科一批		544
